  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              0,         0,           0,          0
  1,             0,               0,              0,         0,           0,          0
  2,             1,               0,              0,         1,           0,          0
  3,             2,               0,              0,         3,           0,          0
  4,             4,               0,              0,         4,           0,          0
  5,             5,               0,              0,         6,           0,          0
  6,            10,               0,              0,        11,           0,          0
  7,            13,               0,              0,        14,           0,          0
  8,            20,               0,              0,        16,           0,          0
  9,            26,               0,              0,        20,           0,          0
 10,            34,               0,              0,        21,           0,          0
 11,            40,               0,              0,        26,           0,          0
 12,            44,               0,              0,        31,           0,          0
 13,            55,               0,            998,        36,           0,          0
 14,            59,               0,              0,        36,           0,          0
 15,            67,               0,              0,        41,           0,          0
 16,            70,               0,              0,        45,           0,          0
 17,            83,               0,              0,        50,           0,          0
 18,            92,               0,              0,        56,           0,          0
 19,            95,               0,              0,        59,           0,          0
 20,           114,               0,              0,        62,           0,          0
 21,           133,               0,              0,        67,           0,          0
 22,           154,               0,              0,        70,           0,          0
 23,           168,               0,              0,        79,           0,          0
 24,           182,               0,              0,        84,           0,        997
 25,           198,               0,              0,        90,           0,          0
 26,           211,               0,              0,        88,           0,          0
 27,           235,               0,              0,        97,           0,          0
 28,           241,               0,              0,        99,           0,          0
 29,           248,               0,              0,       103,           0,          0
 30,           255,               0,              0,       111,           0,          0
 31,           268,               0,           1024,       113,           0,          0
 32,           280,               0,              0,       121,           0,          0
 33,           293,               0,              0,       126,           0,          0
 34,           321,               0,              0,       133,           0,          0
 35,           329,               0,              0,       138,           0,          0
 36,           357,               0,            997,       147,           0,          0
 37,           386,               0,              0,       154,           0,          0
 38,           415,               0,              0,       151,           0,          0
 39,           419,               0,              0,       157,           0,          0
 40,           458,               0,            997,       161,           0,          0
 41,           486,               0,              0,       166,           0,          0
 42,           508,               0,              0,       173,           0,          0
 43,           538,               0,              0,       180,           0,          0
 44,           544,               0,            997,       180,           0,          0
 45,           558,               0,              0,       182,           0,          0
 46,           580,               0,              0,       201,           0,          0
 47,           610,               0,            999,       208,           0,          0
 48,           635,               0,              0,       208,           0,          0
 49,           677,               0,              0,       214,           0,        994
 50,           716,               0,              0,       226,           0,          0
 51,           726,               0,              0,       233,           0,          0
 52,           729,               0,            971,       231,           0,          0
 53,           748,               0,              0,       237,           0,          0
 54,           800,               0,            997,       243,           0,          0
 55,           848,               0,              0,       254,           0,          0
 56,           884,               0,           1024,       256,           0,          0
 57,           908,               0,              0,       261,           0,          0
 58,           949,               0,            970,       266,           0,          0
 59,          1007,               0,              0,       275,           0,          0
 60,          1018,               0,            996,       283,           0,          0
 61,          1067,               0,              0,       288,           0,        996
 62,          1098,               0,              0,       291,           0,          0
 63,          1105,               0,            997,       297,           0,          0
 64,          1129,               0,              0,       308,           0,          0
 65,          1139,               0,            996,       313,           0,          0
 66,          1190,               0,              0,       319,           0,        997
 67,          1252,               0,              0,       326,           0,          0
 68,          1318,               0,            997,       334,           0,          0
 69,          1382,               0,              0,       342,           0,        997
 70,          1448,               0,              0,       342,           0,          0
 71,          1502,               0,            996,       348,           0,          0
 72,          1503,               0,            997,       362,           0,          0
 73,          1571,               0,            997,       370,           0,          0
 74,          1616,               0,            997,       374,           0,          0
 75,          1682,               0,            997,       381,           0,          0
 76,          1706,               0,            996,       384,           0,          0
 77,          1710,               0,            997,       386,           0,          0
 78,          1746,               0,              0,       388,           0,        997
 79,          1814,               0,              0,       403,           0,        998
 80,          1819,               0,              0,       401,           0,          0
 81,          1859,               0,            996,       407,           0,          0
 82,          1882,               0,            997,       416,           0,          0
 83,          1933,               0,            997,       426,           0,          0
 84,          1938,               0,            997,       432,           0,          0
 85,          1983,               0,            997,       441,           0,          0
 86,          2010,               0,            996,       445,           0,          0
 87,          2055,               0,            997,       451,           0,          0
 88,          2094,               0,            997,       452,           0,          0
 89,          2130,               0,            996,       459,           0,          0
 90,          2185,               0,            997,       457,           0,          0
 91,          2198,               0,           1029,       470,           0,        965
 92,          2212,               0,            996,       490,           0,          0
 93,          2255,               0,            997,       496,           0,          0
 94,          2295,               0,            997,       507,           0,          0
 95,          2303,               0,            996,       507,           0,        997
 96,          2379,               0,            997,       514,           0,          0
 97,          2421,               0,            997,       520,           0,          0
 98,          2517,               0,            997,       533,           0,          0
 99,          2602,               0,            997,       533,           0,          0
100,          2664,               0,            997,       549,           0,          0
